layer,check,ok,value,detail
wagebill,nonnegative employment state_M2019_dl.xlsx,True,0.0,0 negative values in employment state_M2019_dl.xlsx
wagebill,nonnegative wage state_M2019_dl.xlsx,True,0.0,0 negative values in wage state_M2019_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2020_dl.xlsx,True,0.0,0 negative values in employment state_M2020_dl.xlsx
wagebill,nonnegative wage state_M2020_dl.xlsx,True,0.0,0 negative values in wage state_M2020_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2021_dl.xlsx,True,0.0,0 negative values in employment state_M2021_dl.xlsx
wagebill,nonnegative wage state_M2021_dl.xlsx,True,0.0,0 negative values in wage state_M2021_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2022_dl.xlsx,True,0.0,0 negative values in employment state_M2022_dl.xlsx
wagebill,nonnegative wage state_M2022_dl.xlsx,True,0.0,0 negative values in wage state_M2022_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2023_dl.xlsx,True,0.0,0 negative values in employment state_M2023_dl.xlsx
wagebill,nonnegative wage state_M2023_dl.xlsx,True,0.0,0 negative values in wage state_M2023_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2024_dl.xlsx,True,0.0,0 negative values in employment state_M2024_dl.xlsx
wagebill,nonnegative wage state_M2024_dl.xlsx,True,0.0,0 negative values in wage state_M2024_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
spine,SOC 2010 to 2018: source codes,True,463.0,463 distinct soc_2010 codes
spine,SOC 2010 to 2018: one-to-many,True,44.0,44 soc_2010 codes map to several soc_2018
spine,"unique key ['soc_2010', 'soc_2018']",True,0.0,"0 duplicate rows on ['soc_2010', 'soc_2018']"
wagebill,wage bill carried onto 2018 SOC 2012,True,0.8797997221558966,"88.0% carried, the rest is codes that split"
wagebill,wage bill carried onto 2018 SOC 2013,True,0.8795932483346159,"88.0% carried, the rest is codes that split"
wagebill,wage bill carried onto 2018 SOC 2014,True,0.8785581167457475,"87.9% carried, the rest is codes that split"
wagebill,wage bill carried onto 2018 SOC 2015,True,0.877763455477494,"87.8% carried, the rest is codes that split"
wagebill,wage bill carried onto 2018 SOC 2016,True,0.8763734037152299,"87.6% carried, the rest is codes that split"
wagebill,wage bill carried onto 2018 SOC 2017,True,0.8816518681062514,"88.2% carried, the rest is codes that split"
wagebill,wage bill carried onto 2018 SOC 2018,True,0.8813727871831991,"88.1% carried, the rest is codes that split"
wagebill,state sum over national employment 2019,True,0.995384920448343,states cover 99.5% of national employment on common occupations
wagebill,state sum over national employment 2021,True,0.9970008879945187,states cover 99.7% of national employment on common occupations
wagebill,state sum over national employment 2022,True,0.9964489366908515,states cover 99.6% of national employment on common occupations
wagebill,state sum over national employment 2023,True,0.9972880502448243,states cover 99.7% of national employment on common occupations
wagebill,state sum over national employment 2024,True,0.997297607431414,states cover 99.7% of national employment on common occupations
wagebill,"unique key ['vintage', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'soc_code']"
wagebill,nonnegative national bill,True,0.0,0 negative values in national bill
wagebill,national wage bill 2012,True,5216143229000.0,"5.216 trillion dollars over 727 occupations, 113.8 million jobs"
wagebill,national wage bill 2013,True,5372679626400.0,"5.373 trillion dollars over 727 occupations, 115.7 million jobs"
wagebill,national wage bill 2014,True,5545488759400.0,"5.545 trillion dollars over 726 occupations, 117.3 million jobs"
wagebill,national wage bill 2015,True,5802926178100.0,"5.803 trillion dollars over 726 occupations, 120.2 million jobs"
wagebill,national wage bill 2016,True,6048798176300.0,"6.049 trillion dollars over 727 occupations, 122.0 million jobs"
wagebill,national wage bill 2017,True,6284473240400.0,"6.284 trillion dollars over 729 occupations, 124.5 million jobs"
wagebill,national wage bill 2018,True,6541938931500.0,"6.542 trillion dollars over 729 occupations, 126.2 million jobs"
wagebill,national wage bill 2019,True,7846316287600.0,"7.846 trillion dollars over 785 occupations, 146.8 million jobs"
wagebill,national wage bill 2020,True,7719842801000.0,"7.720 trillion dollars over 782 occupations, 138.3 million jobs"
wagebill,national wage bill 2021,True,8203133169600.0,"8.203 trillion dollars over 825 occupations, 140.8 million jobs"
wagebill,national wage bill 2022,True,9144916394100.0,"9.145 trillion dollars over 825 occupations, 147.8 million jobs"
wagebill,national wage bill 2023,True,9930995771100.0,"9.931 trillion dollars over 826 occupations, 151.7 million jobs"
wagebill,national wage bill 2024,True,10463201687100.0,"10.463 trillion dollars over 826 occupations, 154.1 million jobs"
wagebill,national wage bill 2025,True,10833939665400.0,"10.834 trillion dollars over 825 occupations, 155.4 million jobs"
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
exposure,"eloundou beta in [0.0, 1.0]",True,0.0,"0 values of eloundou beta outside [0.0, 1.0]"
exposure,"unique key ['task_id', 'onetsoc_code']",True,0.0,"0 duplicate rows on ['task_id', 'onetsoc_code']"
exposure,"eloundou beta by occupation in [0.0, 1.0]",True,0.0,"0 values of eloundou beta by occupation outside [0.0, 1.0]"
exposure,unique key ['soc_code'],True,0.0,0 duplicate rows on ['soc_code']
exposure,"anthropic observed exposure in [0.0, 1.0]",True,0.0,"0 values of anthropic observed exposure outside [0.0, 1.0]"
outcomes,nonnegative relative pay by skill bundle statistic,True,0.0,0 negative values in relative pay by skill bundle statistic
outcomes,nonnegative relative pay by skill bundle threshold,True,0.0,0 negative values in relative pay by skill bundle threshold
outcomes,"relative pay by skill bundle p-value in [0.0, 1.0]",True,0.0,"0 values of relative pay by skill bundle p-value outside [0.0, 1.0]"
outcomes,nonnegative employment-weighted skill intensity statistic,True,0.0,0 negative values in employment-weighted skill intensity statistic
outcomes,nonnegative employment-weighted skill intensity threshold,True,0.0,0 negative values in employment-weighted skill intensity threshold
outcomes,"employment-weighted skill intensity p-value in [0.0, 1.0]",True,0.0,"0 values of employment-weighted skill intensity p-value outside [0.0, 1.0]"
