soc_code,eloundou_beta,felten_aioe,employment_latest,wage_bill_latest
11-1011,0.4897959183673469,1.334246,204350.0,55098890500.0
11-1021,0.47058823529411764,0.5748773,3503020.0,472697518800.0
11-1031,0.4,,,
11-2011,0.4666666666666667,1.294387,21470.0,3312391600.0
11-2021,0.5,1.315032,395240.0,70261814800.0
11-2022,0.4411764705882353,1.26628,637080.0,104704098000.0
11-2032,0.55,,74850.0,12332286000.0
11-2033,0.5625,,38810.0,5434176200.0
11-3012,0.4166666666666667,,263960.0,34280485200.0
11-3013,0.4358974358974359,,156180.0,18255880200.0
11-3021,0.5294117647058824,1.059853,670570.0,128856731200.0
11-3031,0.48412698412698413,1.446232,841710.0,157324016100.0
11-3051,0.41025641025641024,0.5086878,246250.0,33039362500.0
11-3061,0.5833333333333334,1.423426,84320.0,13184275200.0
11-3071,0.48333333333333334,0.8907923,221180.0,26895488000.0
11-3111,0.5,1.298235,22940.0,3730961600.0
11-3121,0.4807692307692308,1.320417,220660.0,36238991800.0
11-3131,0.5,1.284423,48050.0,7129178500.0
11-9013,0.38333333333333336,-0.1443684,6500.0,648830000.0
11-9021,0.44,1.029139,380360.0,47301569600.0
11-9031,0.47058823529411764,0.838007,73660.0,4773168000.0
11-9032,0.421875,1.048811,328330.0,38119113000.0
11-9033,0.46551724137931033,1.461149,180470.0,22836673800.0
11-9041,0.4625,0.8370105,220260.0,39986000400.0
11-9051,0.42857142857142855,-0.1213112,238430.0,17853638400.0
11-9071,0.5526315789473685,0.8299207,5030.0,518341500.0
11-9072,0.35294117647058826,,37980.0,3408705000.0
11-9081,0.4583333333333333,0.4021726,42620.0,3355898800.0
11-9111,0.4166666666666667,1.260259,597080.0,84170367600.0
11-9121,0.5285714285714286,1.327906,108690.0,19591372500.0
11-9131,0.5,0.8233757,13810.0,1344541600.0
11-9141,0.42592592592592593,1.215396,311180.0,26048877800.0
11-9151,0.40625,1.156153,209330.0,18605250400.0
11-9161,0.41304347826086957,1.030768,13500.0,1382670000.0
11-9171,0.4318181818181818,,13910.0,1291404400.0
11-9179,0.4444444444444444,,10450.0,817085500.0
11-9199,0.4927536231884058,0.9646872,622190.0,95748819100.0
