vintage,state_fips,measure,cut,wage_bill_usd,share_of_bill_scored,share_of_bill_exposed,occupations
2019,01,eloundou_beta,0.4782608695652174,86288055800.0,0.8996803135759144,0.3522620372083195,665
2019,02,eloundou_beta,0.4782608695652174,17907221900.0,0.8785104070218731,0.3151904658528286,476
2019,04,eloundou_beta,0.4782608695652174,143315055400.0,0.8785024235492847,0.3877634146360739,663
2019,05,eloundou_beta,0.4782608695652174,50658935100.0,0.8941747454932191,0.31277221160368696,611
2019,06,eloundou_beta,0.4782608695652174,1051138444700.0,0.8460662581453006,0.38318538889753295,753
2019,08,eloundou_beta,0.4782608695652174,152325200100.0,0.8570335736588341,0.41286958205027147,674
2019,09,eloundou_beta,0.4782608695652174,100690044800.0,0.8706813416771864,0.39326157362273123,610
2019,10,eloundou_beta,0.4782608695652174,21878550900.0,0.865968847141517,0.3944774249176356,442
2019,11,eloundou_beta,0.4782608695652174,60445311900.0,0.7917523956063829,0.4577084192716617,440
2019,12,eloundou_beta,0.4782608695652174,412431613400.0,0.8888414534422787,0.3803848671058969,726
2019,13,eloundou_beta,0.4782608695652174,210322270500.0,0.8725347128657971,0.38874501023785546,676
2019,15,eloundou_beta,0.4782608695652174,33281108500.0,0.894427663068975,0.2965789173047702,509
2019,16,eloundou_beta,0.4782608695652174,31545973400.0,0.9043432940953409,0.3357834062101543,576
2019,17,eloundou_beta,0.4782608695652174,329713047800.0,0.883913380269933,0.366461353702637,710
2019,18,eloundou_beta,0.4782608695652174,140606401800.0,0.8818083601652908,0.3257800027626244,692
2019,19,eloundou_beta,0.4782608695652174,72594127100.0,0.8895424351758615,0.34448399318946016,659
2019,20,eloundou_beta,0.4782608695652174,63801295400.0,0.8869181392827958,0.36872515598951894,628
2019,21,eloundou_beta,0.4782608695652174,81941549500.0,0.8799112359963366,0.32006430908508804,658
2019,22,eloundou_beta,0.4782608695652174,82760175800.0,0.8756248267901818,0.29525739271462836,670
2019,23,eloundou_beta,0.4782608695652174,29071787900.0,0.8689361241521716,0.327980422497584,577
2019,24,eloundou_beta,0.4782608695652174,158676587000.0,0.8525323096343129,0.413945205575693,680
2019,25,eloundou_beta,0.4782608695652174,234695965800.0,0.86442182083728,0.3988081494822465,687
2019,26,eloundou_beta,0.4782608695652174,217451752800.0,0.8778827282002943,0.35959530152830266,692
2019,27,eloundou_beta,0.4782608695652174,158437975100.0,0.8604217720780503,0.3825917122820467,678
2019,28,eloundou_beta,0.4782608695652174,44430761800.0,0.9028020064242968,0.2979330899457526,618
2019,29,eloundou_beta,0.4782608695652174,132133834700.0,0.8881856752773103,0.3636937498387858,674
2019,30,eloundou_beta,0.4782608695652174,20494600700.0,0.8952148211406724,0.313312894429799,555
2019,31,eloundou_beta,0.4782608695652174,46451961700.0,0.9029529941251114,0.3597631971508331,612
2019,32,eloundou_beta,0.4782608695652174,63853742600.0,0.889980101182041,0.29622343784767674,590
2019,33,eloundou_beta,0.4782608695652174,34986243900.0,0.8852398270738632,0.38585093678835636,590
2019,34,eloundou_beta,0.4782608695652174,239672613600.0,0.8568138591867887,0.39093290614166604,674
2019,35,eloundou_beta,0.4782608695652174,37303165700.0,0.8635634803509451,0.3326306198704899,581
2019,36,eloundou_beta,0.4782608695652174,601059853400.0,0.8723699731964164,0.4024643018537067,725
2019,37,eloundou_beta,0.4782608695652174,215833349800.0,0.87629587677372,0.3894331335130556,703
