vintage,soc_code,employment,wage,bill,basis
2012,17-2072,133240.0,95314.04232963074,12699643000.0,sum of states
2012,17-2081,50970.0,85108.0243280361,4337956000.0,sum of states
2012,17-2111,23570.0,79758.0441238863,1879897100.0,sum of states
2012,17-2112,222370.0,81959.35602824122,18225302000.0,sum of states
2012,17-2121,5420.0,92508.43173431735,501395700.0,sum of states
2012,17-2131,21100.0,86352.1279620853,1822029900.0,sum of states
2012,17-2141,253430.0,84673.82433018979,21458887300.0,sum of states
2012,17-2151,7420.0,91558.46361185984,679363800.0,sum of states
2012,17-2161,13600.0,103551.14705882352,1408295600.0,sum of states
2012,17-2171,34430.0,148309.7473133895,5106304600.0,sum of states
2012,17-2199,122580.0,93223.52993963126,11427340300.0,sum of states
2012,17-3011,83980.0,50408.45558466302,4233302100.0,sum of states
2012,17-3012,27630.0,58567.26384364821,1618213500.0,sum of states
2012,17-3013,63450.0,53185.681639085895,3374631500.0,sum of states
2012,17-3019,14080.0,48641.704545454544,684875200.0,sum of states
2012,17-3021,8670.0,62208.17762399077,539344900.0,sum of states
2012,17-3022,70910.0,49174.10661401777,3486935900.0,sum of states
2012,17-3023,145230.0,57795.614542449905,8393657100.0,sum of states
2012,17-3024,16350.0,53287.47400611621,871250200.0,sum of states
2012,17-3025,18590.0,49273.926842388384,916002300.0,sum of states
2012,17-3026,62470.0,52260.80038418441,3264732200.0,sum of states
2012,17-3027,46730.0,53770.54140808902,2512697400.0,sum of states
2012,17-3029,64720.0,60406.52657601978,3909510400.0,sum of states
2012,17-3031,47040.0,42633.692602040814,2005488900.0,sum of states
2012,19-1011,1800.0,74334.61111111111,133802300.0,sum of states
2012,19-1012,13090.0,64100.72574484339,839078500.0,sum of states
2012,19-1013,11980.0,63105.41736227045,756002900.0,sum of states
2012,19-1021,25110.0,90461.95141377937,2271499600.0,sum of states
2012,19-1022,17440.0,74443.15366972476,1298288600.0,sum of states
2012,19-1023,18530.0,62541.82946573124,1158900100.0,sum of states
2012,19-1029,30570.0,76298.02747791953,2332430700.0,sum of states
2012,19-1031,18250.0,63429.676712328765,1157591600.0,sum of states
2012,19-1032,9230.0,56937.25893824486,525530900.0,sum of states
2012,19-1041,4410.0,70199.7052154195,309580700.0,sum of states
2012,19-1042,93530.0,88093.64588901956,8239398700.0,sum of states
2012,19-1099,8580.0,73248.27505827506,628470200.0,sum of states
2012,19-2011,1620.0,107937.71604938271,174859100.0,sum of states
2012,19-2012,17590.0,114199.03922683343,2008761100.0,sum of states
2012,19-2021,9950.0,90227.61809045226,897764800.0,sum of states
2012,19-2031,86480.0,76483.38922294173,6614283500.0,sum of states
2012,19-2032,7700.0,90085.88311688312,693661300.0,sum of states
2012,19-2041,84870.0,68752.0796512313,5834989000.0,sum of states
2012,19-2042,34930.0,106936.54738047524,3735293600.0,sum of states
2012,19-2043,6570.0,78947.00152207002,518681800.0,sum of states
2012,19-2099,21610.0,89883.62332253586,1942385100.0,sum of states
2012,19-3011,15620.0,99481.96542893726,1553908300.0,sum of states
2012,19-3022,16680.0,51158.501199040766,853323800.0,sum of states
2012,19-3031,103820.0,72136.24542477365,7489185000.0,sum of states
2012,19-3032,590.0,84067.62711864407,49599900.0,sum of states
2012,19-3039,10000.0,85957.42,859574200.0,sum of states
2012,19-3041,2060.0,81112.8640776699,167092500.0,sum of states
2012,19-3051,37630.0,67929.66250332182,2556193200.0,sum of states
2012,19-3091,5780.0,60379.23875432526,348992000.0,sum of states
2012,19-3092,910.0,73910.65934065935,67258700.0,sum of states
2012,19-3093,2540.0,56322.28346456693,143058600.0,sum of states
2012,19-3094,5130.0,107075.94541910331,549299600.0,sum of states
2012,19-3099,29720.0,79409.89905787348,2360062200.0,sum of states
2012,19-4010,17900.0,36377.46368715084,651156600.0,sum of states
2012,19-4021,71640.0,42604.67895030709,3052199200.0,sum of states
2012,19-4031,62000.0,46011.47741935484,2852711600.0,sum of states
2012,19-4040,13960.0,60436.92693409742,843699500.0,sum of states
2012,19-4051,5360.0,71720.74626865672,384423200.0,sum of states
2012,19-4061,23270.0,41556.61366566394,967022400.0,sum of states
2012,19-4092,11460.0,56120.07853403141,643136100.0,sum of states
2012,19-4099,55420.0,45650.9003969686,2529972900.0,sum of states
2012,21-1012,239290.0,55997.328764260936,13399600800.0,sum of states
2012,21-1013,32840.0,49593.09683313033,1628637300.0,sum of states
2012,21-1015,104480.0,37295.06508422665,3896588400.0,sum of states
2012,21-1019,27030.0,46109.563448020715,1246341500.0,sum of states
2012,21-1021,278860.0,45046.89449903177,12561777000.0,sum of states
2012,21-1022,140710.0,51344.43607419515,7224675600.0,sum of states
2012,21-1023,110280.0,43296.00290170475,4774683200.0,sum of states
2012,21-1029,59040.0,54287.93868563686,3205159900.0,sum of states
2012,21-1091,55840.0,52866.72277936963,2952077800.0,sum of states
2012,21-1092,85370.0,52444.21342391941,4477162500.0,sum of states
2012,21-1093,357330.0,30755.032323062715,10989695700.0,sum of states
2012,21-1094,38080.0,37286.56775210084,1419872500.0,sum of states
2012,21-1099,101190.0,43417.37622294693,4393404300.0,sum of states
2012,21-2011,44110.0,47800.34232600317,2108473100.0,sum of states
2012,21-2021,17220.0,41732.42160278746,718632300.0,sum of states
2012,21-2099,7250.0,30782.110344827586,223170300.0,sum of states
2012,23-1011,585030.0,130544.73086850248,76372583900.0,sum of states
2012,23-1012,10370.0,52399.81677917069,543386100.0,sum of states
2012,23-1021,12420.0,88149.0499194847,1094811200.0,sum of states
2012,23-1022,5750.0,73098.66086956521,420317300.0,sum of states
2012,23-1023,22440.0,109080.02228163993,2447755700.0,sum of states
2012,23-2011,266750.0,50198.89372071228,13390554900.0,sum of states
2012,23-2093,48090.0,46470.29943855271,2234756700.0,sum of states
2012,23-2099,44230.0,60350.510965408095,2669303100.0,sum of states
2012,25-1011,82230.0,85591.21002067372,7038165200.0,sum of states
2012,25-1021,34500.0,79981.39130434782,2759358000.0,sum of states
2012,25-1022,53220.0,73083.00826756858,3889477700.0,sum of states
2012,25-1031,4870.0,80229.34291581108,390716900.0,sum of states
2012,25-1032,31340.0,100932.95469049139,3163238800.0,sum of states
2012,25-1041,7960.0,84541.93467336684,672953800.0,sum of states
2012,25-1042,49750.0,87004.4824120603,4328473000.0,sum of states
2012,25-1043,1740.0,80973.2183908046,140893400.0,sum of states
2012,25-1051,9850.0,92299.80710659898,909153100.0,sum of states
2012,25-1052,20060.0,81423.99800598205,1633365400.0,sum of states
2012,25-1053,4320.0,86616.22685185185,374182100.0,sum of states
2012,25-1054,13630.0,88577.83565663977,1207315900.0,sum of states
2012,25-1061,5290.0,83377.61814744801,441067600.0,sum of states
2012,25-1062,8940.0,78707.6062639821,703646000.0,sum of states
2012,25-1063,13110.0,97666.66666666667,1280410000.0,sum of states
2012,25-1064,4080.0,71655.83333333333,292355800.0,sum of states
2012,25-1065,16530.0,82192.18995765275,1358636900.0,sum of states
2012,25-1066,35360.0,73546.50452488688,2600604400.0,sum of states
2012,25-1067,16730.0,73032.07411835027,1221826600.0,sum of states
2012,25-1069,9610.0,83468.84495317377,802135600.0,sum of states
2012,25-1071,142400.0,99777.1558988764,14208267000.0,sum of states
2012,25-1072,54970.0,68186.56721848281,3748215600.0,sum of states
2012,25-1081,62820.0,64868.72015281757,4075053000.0,sum of states
2012,25-1082,3900.0,70831.8717948718,276244300.0,sum of states
2012,25-1111,13710.0,62419.81035740335,855775600.0,sum of states
2012,25-1112,12590.0,119572.7402700556,1505420800.0,sum of states
2012,25-1113,9200.0,70043.42391304347,644399500.0,sum of states
2012,25-1121,92130.0,73321.77140996417,6755134800.0,sum of states
2012,25-1122,29580.0,68524.67545638945,2026959900.0,sum of states
2012,25-1123,71990.0,67883.30740380609,4886919300.0,sum of states
2012,25-1124,29450.0,66633.52122241087,1962357200.0,sum of states
2012,25-1125,23330.0,73143.22331761681,1706431400.0,sum of states
2012,25-1126,22780.0,71175.48726953469,1621377600.0,sum of states
2012,25-1192,3520.0,68351.53409090909,240597400.0,sum of states
2012,25-1193,19310.0,64665.23045054376,1248685600.0,sum of states
2012,25-1194,123580.0,52393.93267519016,6474842200.0,sum of states
2012,25-1199,175380.0,73726.27779678412,12930114600.0,sum of states
2012,25-2011,343910.0,30664.724201099125,10545905300.0,sum of states
2012,25-2012,157170.0,52949.73340968378,8322109600.0,sum of states
2012,25-2021,1334200.0,56086.788337580576,74830993000.0,sum of states
2012,25-2022,622090.0,56225.01020752624,34977016600.0,sum of states
2012,25-2023,17500.0,55819.97714285714,976849600.0,sum of states
2012,25-2031,959760.0,57765.830311744605,55441333300.0,sum of states
2012,25-2032,89070.0,56689.69799034467,5049351400.0,sum of states
2012,25-2051,20790.0,58562.82828282828,1217521200.0,sum of states
2012,25-2052,194630.0,56691.10877048759,11033790500.0,sum of states
2012,25-2059,46430.0,51613.30389834159,2396405700.0,sum of states
2012,25-3011,66200.0,52087.14954682779,3448169300.0,sum of states
2012,25-3021,180050.0,40330.570397111915,7261519200.0,sum of states
2012,25-3099,280770.0,48753.4280727998,13688500000.0,sum of states
2012,25-4011,5320.0,51048.66541353383,271578900.0,sum of states
2012,25-4012,10340.0,54665.59961315281,565242300.0,sum of states
2012,25-4013,10410.0,42926.34005763689,446863200.0,sum of states
2012,25-4022,142660.0,56791.70194868919,8101904200.0,sum of states
2012,25-4031,101120.0,32232.723496835442,3259373000.0,sum of states
2012,25-9021,9490.0,48631.433087460486,461512300.0,sum of states
2012,25-9031,133940.0,62220.965357622816,8333876100.0,sum of states
2012,25-9040,1186120.0,25313.85003203723,30025263800.0,sum of states
2012,25-9099,101930.0,41225.11135092711,4202075600.0,sum of states
2012,27-1011,31640.0,94151.87737041719,2978965400.0,sum of states
2012,27-1012,4360.0,35154.5871559633,153274000.0,sum of states
2012,27-1013,11290.0,55495.29672276351,626541900.0,sum of states
2012,27-1014,27850.0,68535.43267504488,1908711800.0,sum of states
2012,27-1019,5790.0,62886.26943005181,364111500.0,sum of states
2012,27-1021,29020.0,62418.50103376981,1811384900.0,sum of states
2012,27-1022,15440.0,73015.74481865285,1127363100.0,sum of states
2012,27-1023,46970.0,25527.091760698317,1199007500.0,sum of states
2012,27-1024,192360.0,48635.66593886463,9355556700.0,sum of states
2012,27-1025,40450.0,52730.1804697157,2132935800.0,sum of states
2012,27-1026,73840.0,28820.76110509209,2128125000.0,sum of states
2012,27-1027,7950.0,54481.660377358494,433129200.0,sum of states
2012,27-1029,7300.0,51406.0,375263800.0,sum of states
2012,27-2012,87130.0,92321.3841386434,8043962200.0,sum of states
2012,27-2021,9760.0,74217.66393442624,724364400.0,sum of states
2012,27-2022,202000.0,36667.70841584158,7406877100.0,sum of states
2012,27-2023,14720.0,32227.438858695652,474387900.0,sum of states
2012,27-2032,5630.0,45119.2539964476,254021400.0,sum of states
2012,27-2041,24830.0,53431.735803463554,1326710000.0,sum of states
2012,27-3011,31250.0,41641.6032,1301300100.0,sum of states
2012,27-3031,202310.0,61859.79684642381,12514855500.0,sum of states
2012,27-3041,99320.0,62394.21365283931,6196993300.0,sum of states
2012,27-3042,46220.0,67855.62094331459,3136286800.0,sum of states
2012,27-3043,41680.0,68352.74712092131,2848942500.0,sum of states
2012,27-3091,47740.0,50896.943862589025,2429820100.0,sum of states
2012,27-3099,21700.0,52499.958525345624,1139249100.0,sum of states
2012,27-4011,54700.0,45864.18647166362,2508771000.0,sum of states
2012,27-4012,31010.0,43415.18219929055,1346304800.0,sum of states
2012,27-4014,14030.0,55585.381325730574,779862900.0,sum of states
2012,27-4021,56380.0,36298.23164242639,2046494300.0,sum of states
2012,27-4031,16430.0,48434.27875836884,795775200.0,sum of states
2012,27-4032,21150.0,64536.39243498818,1364944700.0,sum of states
2012,27-4099,13560.0,69207.47050147492,938453300.0,sum of states
2012,29-1011,27660.0,79570.66160520607,2200924500.0,sum of states
2012,29-1021,93600.0,163244.9636752137,15279728600.0,sum of states
2012,29-1022,2890.0,212810.10380622838,615021200.0,sum of states
2012,29-1023,4360.0,179158.37155963303,781130500.0,sum of states
2012,29-1029,4600.0,166453.65217391305,765686800.0,sum of states
2012,29-1031,58840.0,55916.286539768866,3290114300.0,sum of states
2012,29-1041,29210.0,109759.23313933585,3206067200.0,sum of states
2012,29-1051,283570.0,114688.35772472406,32522177600.0,sum of states
2012,29-1071,83680.0,92451.23446462715,7736319300.0,sum of states
2012,29-1081,8910.0,132866.3411896745,1183839100.0,sum of states
2012,29-1122,105800.0,76301.25330812855,8072672600.0,sum of states
2012,29-1123,192080.0,80990.54508538109,15556663900.0,sum of states
2012,29-1124,17960.0,80166.49220489978,1439790200.0,sum of states
2012,29-1125,19110.0,44265.21716378859,845908300.0,sum of states
2012,29-1126,117460.0,57043.031670355864,6700274500.0,sum of states
2012,29-1127,121770.0,72710.80397470642,8853994600.0,sum of states
2012,29-1128,5550.0,47721.18918918919,264852600.0,sum of states
2012,29-1129,12030.0,56548.84455527847,680282600.0,sum of states
2012,29-1131,56060.0,93241.91402069211,5227141700.0,sum of states
2012,29-1141,2652290.0,67692.44547164903,179539996200.0,sum of states
2012,29-1151,34100.0,153702.61583577713,5241259200.0,sum of states
2012,29-1161,5240.0,91816.64122137404,481119200.0,sum of states
2012,29-1171,106900.0,90733.67820392891,9699430200.0,sum of states
2012,29-1181,11850.0,72769.56962025317,862319400.0,sum of states
2012,29-1292,189880.0,70668.19570254898,13418477000.0,sum of states
2012,29-2031,50880.0,52876.12814465409,2690337400.0,sum of states
2012,29-2032,57920.0,66190.87189226519,3833775300.0,sum of states
