state_fips,year,share_using_ai,periods,series,state_abbr
30,2023,4.65,2,ai_in_production,MT
30,2024,6.125,8,ai_in_production,MT
30,2025,8.55,14,ai_in_production,MT
31,2023,5.7,1,ai_in_production,NE
31,2024,5.577777777777778,9,ai_in_production,NE
31,2025,8.178947368421053,19,ai_in_production,NE
32,2023,4.875,8,ai_in_production,NV
32,2024,6.108,25,ai_in_production,NV
32,2025,10.026315789473685,19,ai_in_production,NV
33,2023,6.3,1,ai_in_production,NH
33,2024,6.2250000000000005,4,ai_in_production,NH
33,2025,9.125,8,ai_in_production,NH
34,2023,3.1888888888888887,9,ai_in_production,NJ
34,2024,3.996153846153846,26,ai_in_production,NJ
34,2025,6.794736842105263,19,ai_in_production,NJ
35,2024,6.4125,8,ai_in_production,NM
35,2025,7.972727272727273,11,ai_in_production,NM
36,2023,3.5888888888888886,9,ai_in_production,NY
36,2024,4.492307692307692,26,ai_in_production,NY
36,2025,7.063157894736841,19,ai_in_production,NY
37,2023,4.377777777777777,9,ai_in_production,NC
37,2024,5.0307692307692315,26,ai_in_production,NC
37,2025,8.842105263157896,19,ai_in_production,NC
39,2023,3.6222222222222222,9,ai_in_production,OH
39,2024,4.773076923076923,26,ai_in_production,OH
39,2025,7.963157894736843,19,ai_in_production,OH
40,2023,3.54,5,ai_in_production,OK
40,2024,4.993333333333334,15,ai_in_production,OK
40,2025,6.7894736842105265,19,ai_in_production,OK
41,2023,5.199999999999999,9,ai_in_production,OR
41,2024,6.269230769230769,26,ai_in_production,OR
41,2025,9.34736842105263,19,ai_in_production,OR
42,2023,3.4444444444444446,9,ai_in_production,PA
42,2024,4.361538461538462,26,ai_in_production,PA
42,2025,7.257894736842106,19,ai_in_production,PA
44,2023,8.7,1,ai_in_production,RI
44,2025,13.600000000000001,2,ai_in_production,RI
45,2023,4.025,8,ai_in_production,SC
45,2024,4.904761904761905,21,ai_in_production,SC
45,2025,8.200000000000001,19,ai_in_production,SC
46,2023,5.9,1,ai_in_production,SD
46,2024,6.9,2,ai_in_production,SD
46,2025,9.3,2,ai_in_production,SD
47,2023,4.1375,8,ai_in_production,TN
47,2024,4.776923076923077,26,ai_in_production,TN
47,2025,7.7,19,ai_in_production,TN
48,2023,4.344444444444445,9,ai_in_production,TX
48,2024,5.303846153846154,26,ai_in_production,TX
48,2025,9.173684210526316,19,ai_in_production,TX
49,2023,4.877777777777777,9,ai_in_production,UT
49,2024,7.357692307692308,26,ai_in_production,UT
49,2025,11.189473684210526,19,ai_in_production,UT
50,2024,8.3,1,ai_in_production,VT
50,2025,10.299999999999999,3,ai_in_production,VT
51,2023,4.300000000000001,9,ai_in_production,VA
51,2024,5.626923076923077,26,ai_in_production,VA
51,2025,8.973684210526315,19,ai_in_production,VA
53,2023,5.033333333333333,9,ai_in_production,WA
53,2024,6.738461538461538,26,ai_in_production,WA
53,2025,10.636842105263158,19,ai_in_production,WA
54,2025,7.6499999999999995,2,ai_in_production,WV
55,2023,2.966666666666667,9,ai_in_production,WI
55,2024,4.069230769230769,26,ai_in_production,WI
55,2025,6.3052631578947365,19,ai_in_production,WI
56,2025,15.4,3,ai_in_production,WY
72,2023,4.366666666666666,3,ai_in_production,PR
72,2024,5.25,10,ai_in_production,PR
72,2025,6.775,16,ai_in_production,PR
