year,1.A.1,1.A.2,1.A.3,1.A.4,2.A.1,2.A.2,2.B.1,2.B.2,2.B.3,2.B.4,2.B.5,2.C.1,2.C.10,2.C.2,2.C.3,2.C.4,2.C.5,2.C.6,2.C.7,2.C.8,2.C.9,4.A.1,4.A.2,4.A.3,4.A.4
2013,-0.0040109316752593716,-0.0013103144412272502,-0.0006678734004369096,0.007564613146939901,0.001169066040969201,-0.009536713589810328,-0.0039539077880625766,-0.001340934455141141,0.0035230090704266573,0.005993435167029239,0.0029206980969882414,0.0002102097284726385,-0.001690419621828311,-0.0014182063510557344,-0.000840410375142531,-0.0002095638830710753,0.002193692418397576,-0.0004986199416074832,-0.005380404364291838,0.0004963869082552061,0.001473829400802223,0.00196168608959209,0.011503339780954584,-0.00830705481910937,-0.002895831315004882
2014,0.008194530478604287,-0.007715641124946155,0.005873639390995707,0.007784387500335438,-0.002410215976300846,-0.010301604376163708,-0.0038355164402838846,0.003411609036446657,0.0020831526253853603,-0.0014948246407816088,0.0009541397137623769,0.0011754704915220686,0.0005728520797166721,-0.0020253058889822604,0.0007582365529198231,-0.0018346379148856818,0.0011618732308151796,0.002137312704534265,0.0003648716606779756,-0.00464256222038644,-7.761261879301432e-05,0.002212816979634085,0.0017925387629465523,-0.0040585554247276326,0.0011515420928307578
2015,-0.012467188544426903,-0.002577835640869506,0.005528168864866262,0.011255132781668663,0.003331201192072289,-0.004999055632243258,0.005283426203439092,-0.0010237607697327975,0.001600572411538768,-0.003109847881184015,0.0036939003115446793,-0.003132862511603494,-0.006132990168298395,-0.0003538898150268164,-0.0013423543090224134,0.00753597848010623,-0.004086861713477983,-0.0012934767626325257,-0.004785004606371603,-0.001565968095354875,0.003607975577284126,0.0015125642870326853,0.003487278931675633,-0.009586678479245186,0.0007449394205220532
2016,-0.010589776386871015,0.0005601991740697772,0.008883090393498364,0.0016855515355832633,0.00531998917449321,0.0048570107167192214,0.001343815640869763,-0.0022516196284782086,-0.0033535164361824504,-0.009628493246181495,0.003938883412995644,0.00018632576747765967,-0.0005216290428861527,0.002479123973629078,0.0019431101338500947,0.0002546694003451723,-0.001537610795854138,-0.0016855253020191532,0.004472590183960636,-0.0009391276911929447,0.0016403439815652233,0.0032869787006056354,0.0029341608497327827,-0.011873158483441984,-0.002057211328906761
2017,0.02413982712699208,-0.010210856015898807,0.00494399959884651,-0.0033228252789685477,-0.010736670358526653,-0.005999873662524345,-0.010182593415755864,-0.006765287866305327,0.005116848953120217,-0.0064415465351942945,0.004215051226512469,-0.01358037820239019,0.0019285576933890086,0.004551725313589962,8.296311109310548e-05,0.0021885111260299237,0.0038315652813543303,0.00045972176423967904,0.0012248035608965822,0.0029518784285851394,-0.0034842407586572572,-0.003739849171668093,0.0029231548875999856,-0.006066901698211138,0.011056551702354596
2018,0.016583652235598156,0.012054877718481256,-0.0013027155098174225,-0.014635918244491699,-0.0034910360778289138,-0.006244634063791654,0.00143236627324089,-0.010472683278582385,-0.009878635865258426,0.003292980264664867,0.0006378559551768584,-0.00422730901869086,0.002004909198417587,0.000671740521845111,0.00175551865189493,-0.003644935441899875,0.002759262661989209,-0.0018970220808285252,0.00873442456861233,0.0013471374036882848,0.0024561467706367655,-0.0023064308836596168,-0.002595293570735931,0.0024499931860711126,0.0009280774124210314
2019,0.007420596890381706,0.005711069398839139,0.0019470461173266603,-0.0057203223530720064,0.005475643210754615,-0.015145510910299692,0.008885258809618024,-0.009835099201391096,-0.004465365926100503,-0.0030921746293247118,-0.0001500003949332847,-0.007592497880218887,-0.002105591378234831,-0.0014205687301471386,0.0006261079072604695,-0.0018414774138263233,0.0008000755292288121,0.0007718014618848614,0.006510046945068506,-0.0008340254839389351,0.004965087942976896,0.004011158570510107,-0.005607344695269711,0.003181690185573611,0.0014067635470964995
2020,0.0016644552547582098,-0.0018337933149052178,-0.0035215173921356075,-0.0042204389027267735,-0.011747027110760184,-0.005873769129618255,0.012060261083108188,-0.010699716667344693,0.009686059648565965,0.0031164831308668384,-0.0011926770574280058,0.00017401227148654258,0.0006286821436055801,-0.000446972569384617,-0.00333754034866693,0.007524828049873455,-2.0243160381300884e-05,-0.003862979242101173,0.005203667209020245,8.592594809095952e-05,-2.7290636098870765e-05,0.002266690342301231,-0.00435867274994598,0.0007306133771304715,-0.0013154755917674536
2021,0.033357974548750745,-0.008517386225017222,0.0035774591335855175,0.005004413777503147,-0.004563799181065458,-0.026145537641750833,0.0017507829186071077,-0.010673263010964466,0.005847591673661879,0.013051594943869463,-0.016723609214359204,-0.012064020950557483,-0.004310465702917715,0.003922704886977437,-0.00924944398610879,-0.0007103471011447931,0.00585073749048829,0.003741246195456786,0.014075880004735798,-0.0016772009480778955,-0.0025786857422074737,0.008468359561839894,-0.017185250215206737,0.0007623582560154583,0.0006444851662317883
2022,-0.00436101034356229,0.007396794786872792,0.01932268744810033,-0.012072269447959017,-5.095077513341999e-05,-0.027611453312899412,0.03414141700478152,0.007926821817129287,0.010111518846008987,-0.01198024860893483,0.004174838862220344,-0.0033168796777013777,-0.00288019384909881,0.008877692965603617,-0.004080774034820281,-0.0005462240470266666,0.0009541974663048164,-0.005055272517396619,-0.01731165714551706,-0.002419389779731261,0.022056257295060274,0.006795457835598815,0.012630684045642706,-0.03189379885186802,-0.014142183093745342
2023,-0.006966566428858211,-0.00614478158217468,0.008363059164059921,-0.0009126931143678503,-0.015510787269009004,-0.0074798687579774184,0.006130956870728939,0.009098388144037515,-0.005817449447215263,0.009590561677838708,-0.009870894646071637,-7.841679399012816e-05,-0.003552803138194454,0.0031221352460870213,-0.0026611455028802216,0.010749843751633091,0.000672832972926709,-0.005497285548405341,0.004221748185314487,0.00835977807563945,-0.005208614633519395,0.005215378704239708,-0.012247767883873101,0.0005768998410866568,0.005724830769101077
2024,0.03930156993053706,-0.0028036007894080006,-0.007072087113701723,0.01180337953573597,-0.025449903668267007,-0.01173934987692251,-0.0033677518934090156,0.010758170373320304,-0.0017132720972381481,-0.007985893726259812,-0.003873211249843288,-0.0039159272201183684,-0.004411218572916406,0.008030850534320918,0.004595973928545784,-0.009915651172820112,0.01208272159483944,-0.00776901434210946,-0.014993007762692278,0.008257891061573971,-0.00024283519223268921,-0.0016561746173232668,-0.00031729281000357463,-0.0005854272583730671,0.004362498976960933
2025,0.012848741639043733,0.0005813563757209104,-0.003296822146107229,-0.014953238570211603,-0.003394092768550964,0.0024852423477324304,-0.006866986385149723,-0.002021163890702835,-0.004171686965645893,0.0033906366666392215,0.003215419878897986,-0.003711744564229521,-0.002047251345509339,-0.0014136018700877805,-0.0023313873543454595,0.006341255978088773,0.0006926807855983645,0.003276847493032837,-0.008631035521051583,-0.00030052304143669584,0.002749033475308806,-7.547879284604069e-05,-0.011160898367367868,0.010544842521898313,-0.002366705945355235
