cip_code,destinations,link,eloundou_beta,felten_aioe
01.0000,5,nces_crosswalk,0.4278839310178692,0.7418920994364127
01.0101,3,nces_crosswalk,0.34286921776548335,-0.17530531599815585
01.0102,2,nces_crosswalk,0.4508214440121055,0.3756970440985733
01.0103,3,nces_crosswalk,0.5144428344062522,1.2268717873007577
01.0104,4,nces_crosswalk,0.3466602067183463,-0.010314556705426404
01.0105,3,nces_crosswalk,0.5835623950878525,0.8042239072500955
01.0106,2,nces_crosswalk,0.5197162399181072,1.038688
01.0199,3,nces_crosswalk,0.34286921776548335,-0.17530531599815585
01.0201,2,nces_crosswalk,0.21094250908313741,-0.8330537097670442
01.0204,3,nces_crosswalk,0.13109310665427015,-0.9511957641120999
01.0205,3,nces_crosswalk,0.11697225108380209,-0.9722175926735874
01.0207,2,nces_crosswalk,0.41100802737202263,-0.1789674500921174
01.0299,2,nces_crosswalk,0.21094250908313741,-0.8330537097670442
01.0301,3,nces_crosswalk,0.34286921776548335,-0.17530531599815585
01.0302,5,nces_crosswalk,0.3416139240506329,-0.036295852748913705
01.0303,3,nces_crosswalk,0.34286921776548335,-0.17530531599815585
01.0304,4,nces_crosswalk,0.3466602067183463,-0.010314556705426404
01.0306,3,nces_crosswalk,0.31461262105592,-0.17019386471415188
01.0307,5,nces_crosswalk,0.3416139240506329,-0.036295852748913705
01.0308,6,nces_crosswalk,0.3968056353526439,0.06981629700854698
01.0310,6,nces_crosswalk,0.2178262068887069,-0.5229257585835836
01.0399,3,nces_crosswalk,0.34286921776548335,-0.17530531599815585
01.0401,4,nces_crosswalk,0.32870314159963576,-0.08207519323454868
01.0504,2,nces_crosswalk,0.3089506158111481,-0.5742037869219463
01.0505,2,nces_crosswalk,0.21458440250137806,-0.3783402175153486
01.0507,2,nces_crosswalk,0.21458440250137806,-0.3783402175153486
01.0508,1,nces_crosswalk,,
01.0509,2,nces_crosswalk,0.3089506158111481,-0.5742037869219463
01.0599,1,nces_crosswalk,,
01.0601,5,nces_crosswalk,0.08305809151397388,-1.6237767007642
01.0603,4,nces_crosswalk,0.08093648607563535,-1.6423602339746273
01.0604,5,nces_crosswalk,0.08595877600741017,-1.6134971026500293
01.0605,4,nces_crosswalk,0.07843292473709583,-1.6327519424953323
01.0606,7,nces_crosswalk,0.08492018559482435,-1.5936375916034418
01.0607,4,nces_crosswalk,0.07843292473709583,-1.6327519424953323
01.0608,1,nces_crosswalk,0.5,0.0191826
01.0609,2,nces_crosswalk,0.37402626811594203,0.41672003274456515
01.0610,2,nces_crosswalk,0.37402626811594203,0.41672003274456515
01.0699,1,nces_crosswalk,,
01.0701,2,nces_crosswalk,0.4085882270595646,0.7782507720655142
01.0801,1,nces_crosswalk,0.36666666666666664,0.8604031
01.0802,2,nces_crosswalk,0.5427168243609288,-0.0117747
01.0899,1,nces_crosswalk,,
01.0901,6,nces_crosswalk,0.3618648264833644,0.04928663023765993
01.0902,4,nces_crosswalk,0.43065320368985294,0.6018687996260284
01.0903,3,nces_crosswalk,0.459053275737941,0.4871197742980562
01.0904,4,nces_crosswalk,0.43065320368985294,0.6018687996260284
01.0905,6,nces_crosswalk,0.3618648264833644,0.04928663023765993
01.0906,4,nces_crosswalk,0.3466602067183463,-0.010314556705426404
01.0907,6,nces_crosswalk,0.3618648264833644,0.04928663023765993
01.0999,5,nces_crosswalk,0.35535039609993907,0.04928663023765993
01.1001,3,nces_crosswalk,0.3827096563906296,0.7782507720655142
01.1002,2,nces_crosswalk,0.3448850047277379,0.7943575
01.1003,4,nces_crosswalk,0.1301901827647214,-0.4528296591892765
01.1004,6,nces_crosswalk,0.25797914497544044,-0.3300568402510017
01.1005,4,nces_crosswalk,0.1301901827647214,-0.4528296591892765
01.1099,3,nces_crosswalk,0.3827096563906296,0.7782507720655142
01.1101,6,nces_crosswalk,0.37948974699293037,0.13976271620377245
01.1102,6,nces_crosswalk,0.37948974699293037,0.13976271620377245
01.1103,4,nces_crosswalk,0.44550089840920426,0.5793298630937262
01.1104,2,nces_crosswalk,0.48818270603260466,0.6764339889655172
01.1105,4,nces_crosswalk,0.44550089840920426,0.5793298630937262
01.1106,7,nces_crosswalk,0.4432003418477539,0.42527039326565624
01.1199,2,nces_crosswalk,0.48818270603260466,0.6764339889655172
01.1201,3,nces_crosswalk,0.4490964773848761,0.6764339889655172
01.1202,2,nces_crosswalk,0.48818270603260466,0.6764339889655172
01.1203,3,nces_crosswalk,0.4467634317370496,0.6847463465473732
01.1299,2,nces_crosswalk,0.48818270603260466,0.6764339889655172
01.1302,1,nces_crosswalk,,
01.1399,1,nces_crosswalk,0.3854166666666667,
01.8001,2,nces_crosswalk,0.4244704662119902,0.6498940589179801
01.8101,2,nces_crosswalk,0.4244704662119902,0.6498940589179801
01.8102,2,nces_crosswalk,0.4244704662119902,0.6498940589179801
01.8103,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8104,2,nces_crosswalk,0.4244704662119902,0.6498940589179801
01.8105,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8106,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8107,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8108,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8109,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8110,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8111,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8199,3,nces_crosswalk,0.42523000023976715,0.6538306671424401
01.8201,3,nces_crosswalk,0.5353127872368847,1.140413835546193
01.8202,4,nces_crosswalk,0.46559858256689324,0.7691373684715664
01.8203,2,nces_crosswalk,0.4996513470916764,1.0287975888293295
01.8204,2,nces_crosswalk,0.5648510105835465,1.1105770973735454
01.8299,1,nces_crosswalk,,
01.8301,3,nces_crosswalk,0.3223927138536361,0.1256012155013732
01.8399,2,nces_crosswalk,0.18752275133876986,-0.565891575934616
01.9999,1,nces_crosswalk,,
03.0101,4,nces_crosswalk,0.39133620003185215,0.04706836319261214
03.0103,3,nces_crosswalk,0.5171368449976291,0.7615633307245473
03.0104,5,nces_crosswalk,0.5042327229847526,0.7615633307245473
03.0199,1,nces_crosswalk,,
03.0201,3,nces_crosswalk,0.41877207225492186,0.04706836319261214
03.0204,4,nces_crosswalk,0.5000595529383036,0.9929197668181416
03.0205,2,nces_crosswalk,0.4334933213855675,0.13494666163087005
03.0206,2,nces_crosswalk,0.4334933213855675,0.13494666163087005
03.0207,1,nces_crosswalk,0.35294117647058826,
03.0208,10,nces_crosswalk,0.3142410274202711,-0.3713254285430159
03.0209,2,nces_crosswalk,0.5171617422657783,0.7495776861857895
03.0210,1,nces_crosswalk,,
03.0299,1,nces_crosswalk,0.48000000000000004,1.260278
03.0301,2,nces_crosswalk,0.16666666666666666,-0.4791843
03.0501,6,nces_crosswalk,0.341499912649248,-0.2510435587957169
03.0502,3,nces_crosswalk,0.41877207225492186,0.04706836319261214
03.0506,3,nces_crosswalk,0.41877207225492186,0.04706836319261214
03.0508,2,nces_crosswalk,0.3927196652719665,-0.0006252108786610692
03.0509,2,nces_crosswalk,0.3927196652719665,-0.0006252108786610692
03.0510,4,nces_crosswalk,0.33384121566715425,-0.3358923652718617
03.0511,2,nces_crosswalk,0.30578193976438633,-1.064205
03.0599,4,nces_crosswalk,0.3272425020410974,-0.35810619555555556
03.0601,3,nces_crosswalk,0.41734224538348247,0.20754138256196536
03.9999,1,nces_crosswalk,0.48000000000000004,1.260278
04.0200,1,nces_crosswalk,,
04.0201,3,nces_crosswalk,0.47480133241717204,0.912893536492098
04.0202,3,nces_crosswalk,0.47480133241717204,0.912893536492098
04.0299,1,nces_crosswalk,0.4772727272727273,1.222022
04.0301,4,nces_crosswalk,0.46576160035269476,0.9113580029023844
04.0401,4,nces_crosswalk,0.4718281872236259,0.9196140836790562
04.0402,3,nces_crosswalk,0.47183346690709943,0.9148788557069393
04.0403,2,nces_crosswalk,0.47959560947429225,1.226701368765646
04.0499,1,nces_crosswalk,0.4772727272727273,1.222022
04.0501,3,nces_crosswalk,0.47183346690709943,0.9148788557069393
04.0601,3,nces_crosswalk,0.4596779834341064,0.864612647156245
04.0801,2,nces_crosswalk,0.5,1.0487627362547631
04.0802,2,nces_crosswalk,0.484304932735426,1.183932452914798
04.0803,1,nces_crosswalk,0.4772727272727273,1.222022
04.0899,1,nces_crosswalk,0.4772727272727273,1.222022
04.0901,1,nces_crosswalk,0.5357142857142857,0.9233925
04.0902,3,nces_crosswalk,0.4857348532490244,0.8729581631188567
04.0999,2,nces_crosswalk,0.5316747884072839,0.944033856822262
04.1001,6,nces_crosswalk,0.44437523119322864,1.0972878093481038
04.9999,1,nces_crosswalk,,
05.0101,1,nces_crosswalk,0.5,1.308699
05.0102,1,nces_crosswalk,0.5,1.308699
05.0103,1,nces_crosswalk,0.5,1.308699
05.0104,1,nces_crosswalk,0.5,1.308699
05.0105,1,nces_crosswalk,0.5,1.308699
05.0106,1,nces_crosswalk,0.5,1.308699
05.0107,1,nces_crosswalk,0.5,1.308699
05.0108,1,nces_crosswalk,0.5,1.308699
05.0109,1,nces_crosswalk,0.5,1.308699
05.0110,1,nces_crosswalk,0.5,1.308699
05.0111,1,nces_crosswalk,0.5,1.308699
05.0112,1,nces_crosswalk,0.5,1.308699
05.0113,1,nces_crosswalk,0.5,1.308699
05.0114,1,nces_crosswalk,0.5,1.308699
05.0115,1,nces_crosswalk,0.5,1.308699
05.0116,1,nces_crosswalk,0.5,1.308699
05.0117,1,nces_crosswalk,0.5,1.308699
05.0118,1,nces_crosswalk,0.5,1.308699
05.0119,1,nces_crosswalk,0.5,1.308699
05.0120,1,nces_crosswalk,0.5,1.308699
05.0121,1,nces_crosswalk,0.5,1.308699
05.0122,1,nces_crosswalk,0.5,1.308699
05.0123,1,nces_crosswalk,0.5,1.308699
05.0124,1,nces_crosswalk,0.5,1.308699
05.0125,1,nces_crosswalk,0.5,1.308699
05.0126,1,nces_crosswalk,0.5,1.308699
05.0127,1,nces_crosswalk,0.5,1.308699
05.0128,1,nces_crosswalk,0.5,1.308699
05.0129,1,nces_crosswalk,0.5,1.308699
05.0130,1,nces_crosswalk,0.5,1.308699
05.0131,1,nces_crosswalk,0.5,1.308699
05.0132,1,nces_crosswalk,0.5,1.308699
05.0133,1,nces_crosswalk,0.5,1.308699
05.0134,1,nces_crosswalk,0.5,1.308699
05.0135,1,nces_crosswalk,0.5,1.308699
05.0136,1,nces_crosswalk,0.5,1.308699
05.0199,1,nces_crosswalk,0.5,1.308699
