series,year,treated_transitions,transitions_available,bundles_beyond_two,largest_statistic,threshold_95,distance_to_detection,p_largest_consecutive,p_count_consecutive,consecutive_relabellings
relative pay by skill bundle,2018,"2016,2017,2018",6,5,3.135,3.318,0.945,0.75,0.5,4
relative pay by skill bundle,2019,"2017,2018,2019",7,7,5.114,4.945,1.034,0.2,0.4,5
relative pay by skill bundle,2020,"2018,2019,2020",8,9,6.558,6.129,1.07,0.167,0.167,6
relative pay by skill bundle,2021,"2019,2020,2021",9,6,3.653,4.35,0.84,0.429,0.571,7
relative pay by skill bundle,2022,"2020,2021,2022",10,3,3.839,4.407,0.871,0.375,0.875,8
relative pay by skill bundle,2023,"2021,2022,2023",11,5,4.223,4.743,0.89,0.444,0.333,9
relative pay by skill bundle,2024,"2022,2023,2024",12,4,7.564,6.275,1.205,0.1,0.4,10
relative pay by skill bundle,2025,"2023,2024,2025",13,4,2.537,6.512,0.39,0.909,0.727,11
