series,year,treated_transitions,transitions_available,bundles_beyond_two,largest_statistic,threshold_95,distance_to_detection,p_largest_consecutive,p_count_consecutive,consecutive_relabellings
employment-weighted skill intensity,2018,"2016,2017,2018",6,7,3.673,3.673,1.0,0.5,0.5,4
employment-weighted skill intensity,2019,"2017,2018,2019",7,0,1.511,2.131,0.709,0.8,1.0,5
employment-weighted skill intensity,2020,"2018,2019,2020",8,1,2.633,2.538,1.037,0.167,0.333,6
employment-weighted skill intensity,2021,"2019,2020,2021",9,1,3.439,3.17,1.085,0.143,0.571,7
employment-weighted skill intensity,2022,"2020,2021,2022",10,3,2.197,3.187,0.689,0.375,0.25,8
employment-weighted skill intensity,2023,"2021,2022,2023",11,1,2.536,3.198,0.793,0.222,0.667,9
employment-weighted skill intensity,2024,"2022,2023,2024",12,1,2.517,3.206,0.785,0.3,0.6,10
employment-weighted skill intensity,2025,"2023,2024,2025",13,2,4.36,4.0,1.09,0.091,0.182,11
