vintage,state_fips,soc_code,employment,wage,bill
2024,01,17-3031,1210.0,51690.0,62544900.0
2024,01,19-1012,50.0,93030.0,4651500.0
2024,01,19-1013,90.0,78900.0,7101000.0
2024,01,19-1021,100.0,71960.0,7196000.0
2024,01,19-1022,90.0,65500.0,5895000.0
2024,01,19-1023,310.0,66520.0,20621200.0
2024,01,19-1029,250.0,82580.0,20645000.0
2024,01,19-1031,110.0,82270.0,9049700.0
2024,01,19-1032,300.0,69870.0,20961000.0
2024,01,19-1041,60.0,72130.0,4327800.0
2024,01,19-1042,1460.0,76800.0,112128000.0
2024,01,19-1099,50.0,107210.0,5360500.0
2024,01,19-2012,360.0,130730.0,47062800.0
2024,01,19-2021,230.0,87450.0,20113500.0
2024,01,19-2031,630.0,100510.0,63321300.0
2024,01,19-2041,920.0,76210.0,70113200.0
2024,01,19-2042,140.0,82110.0,11495400.0
2024,01,19-2043,30.0,90830.0,2724900.0
2024,01,19-2099,150.0,130920.0,19638000.0
2024,01,19-3011,40.0,114850.0,4594000.0
2024,01,19-3033,360.0,110180.0,39664800.0
2024,01,19-3034,320.0,72130.0,23081600.0
2024,01,19-3039,100.0,126770.0,12677000.0
2024,01,19-3051,560.0,71750.0,40180000.0
2024,01,19-3091,210.0,69400.0,14574000.0
2024,01,19-3093,60.0,75880.0,4552800.0
2024,01,19-3099,320.0,103540.0,33132800.0
2024,01,19-4012,40.0,34120.0,1364800.0
2024,01,19-4021,300.0,46080.0,13824000.0
2024,01,19-4031,1180.0,56840.0,67071200.0
2024,01,19-4042,340.0,47580.0,16177200.0
2024,01,19-4043,40.0,40970.0,1638800.0
2024,01,19-4051,170.0,111210.0,18905700.0
2024,01,19-4071,180.0,55300.0,9954000.0
2024,01,19-4092,160.0,61120.0,9779200.0
2024,01,19-4099,250.0,57510.0,14377500.0
2024,01,19-5011,2100.0,78620.0,165102000.0
2024,01,19-5012,480.0,57640.0,27667200.0
2024,01,21-1012,4510.0,61330.0,276598300.0
2024,01,21-1013,200.0,55260.0,11052000.0
2024,01,21-1015,460.0,54300.0,24978000.0
2024,01,21-1018,3340.0,52120.0,174080800.0
2024,01,21-1019,50.0,44400.0,2220000.0
2024,01,21-1021,4430.0,50430.0,223404900.0
2024,01,21-1022,2640.0,57050.0,150612000.0
2024,01,21-1023,670.0,44670.0,29928900.0
2024,01,21-1029,450.0,85850.0,38632500.0
2024,01,21-1091,620.0,58930.0,36536600.0
2024,01,21-1092,960.0,58670.0,56323200.0
