year,state,award_level,awards_unexposed,awards_exposed,share_exposed
2023,FL,7,22935.0,16319.0,0.4157283334182504
2023,FL,8,607.0,193.0,0.24125
2023,FL,17,2159.0,1333.0,0.381729667812142
2023,FL,18,6341.0,27.0,0.004239949748743719
2023,FL,19,10.0,0.0,0.0
2023,FL,20,7413.0,688.0,0.08492778669300087
2023,FL,21,30557.0,16261.0,0.34732367892690846
2023,FM,2,44.0,20.0,0.3125
2023,FM,3,107.0,59.0,0.35542168674698793
2023,FM,4,34.0,0.0,0.0
2023,FM,5,17.0,0.0,0.0
2023,GA,2,8473.0,1762.0,0.17215437225207622
2023,GA,3,6458.0,4533.0,0.4124283504685652
2023,GA,4,786.0,332.0,0.29695885509839
2023,GA,5,30172.0,21954.0,0.4211717760810344
2023,GA,6,862.0,435.0,0.3353893600616808
2023,GA,7,12345.0,10754.0,0.4655612797090783
2023,GA,8,950.0,825.0,0.4647887323943662
2023,GA,17,1284.0,785.0,0.3794103431609473
2023,GA,18,2943.0,0.0,0.0
2023,GA,19,53.0,0.0,0.0
2023,GA,20,187.0,0.0,0.0
2023,GA,21,23157.0,9398.0,0.2886806942097988
2023,GU,2,51.0,9.0,0.15
2023,GU,3,106.0,110.0,0.5092592592592593
2023,GU,4,0.0,0.0,
2023,GU,5,303.0,142.0,0.31910112359550563
2023,GU,6,0.0,0.0,
2023,GU,7,142.0,13.0,0.08387096774193549
2023,GU,21,0.0,0.0,
2023,HI,2,610.0,284.0,0.31767337807606266
2023,HI,3,976.0,574.0,0.37032258064516127
2023,HI,4,87.0,0.0,0.0
2023,HI,5,3301.0,2144.0,0.39375573921028467
2023,HI,6,2.0,4.0,0.6666666666666666
2023,HI,7,819.0,639.0,0.4382716049382716
2023,HI,8,0.0,0.0,
2023,HI,17,105.0,64.0,0.378698224852071
2023,HI,18,264.0,0.0,0.0
2023,HI,20,17.0,0.0,0.0
2023,HI,21,337.0,127.0,0.27370689655172414
2023,IA,2,2767.0,561.0,0.16856971153846154
2023,IA,3,4297.0,1595.0,0.2707060420909708
2023,IA,4,384.0,0.0,0.0
2023,IA,5,13248.0,7443.0,0.35972161809482384
2023,IA,6,550.0,279.0,0.3365500603136309
2023,IA,7,3440.0,2428.0,0.41376959781867756
2023,IA,8,547.0,158.0,0.22411347517730495
2023,IA,17,565.0,323.0,0.36373873873873874
2023,IA,18,1889.0,0.0,0.0
2023,IA,19,28.0,5.0,0.15151515151515152
2023,IA,20,2446.0,2.0,0.0008169934640522876
2023,IA,21,3195.0,925.0,0.22451456310679613
2023,ID,2,1402.0,213.0,0.13188854489164087
2023,ID,3,2029.0,1265.0,0.3840315725561627
