platform,release,tasks_used,tasks_valued,wage_bill_usd,reach_usd,reach_share,delegated_usd,delegated_share,augmented_usd,augmented_share,usage_share_matched
anthropic,2025-09-15 (2025-08-04),2051,17336,9915700173500.0,1799026493498.2212,0.18143211896484854,531020603717.6102,0.05355351557893798,496273747476.96484,0.05004928938888965,0.7750203982137598
anthropic,2026-01-15 (2025-11-13),2468,17336,9915700173500.0,2172393828855.803,0.2190862763944385,522031651386.3209,0.052646978251870286,661259889608.0094,0.06668816906901298,0.7536274353574814
anthropic,2026-03-24 (2026-02-05),2525,17336,9915700173500.0,2301800841833.832,0.23213699502385746,581467613841.2327,0.058641104880845625,706102522627.6877,0.07121055601446759,0.7718803847204625
anthropic,2026-06-26 (2026-04),1947,17336,9915700173500.0,1909814941712.517,0.19260515226313052,0.0,0.0,0.0,0.0,0.8032958808017336
anthropic,2026-06-26 (2026-05),2200,17336,9915700173500.0,2096201661184.374,0.21140228370221748,0.0,0.0,0.0,0.0,0.808317148359889
openai,2026-06 (dollar allocation),9754,17336,9915700173500.0,6122114439046.91,0.6174162521985529,0.0,0.0,0.0,0.0,1.0
openai,2026-06 (equal allocation),9754,17336,9915700173500.0,6122114439046.91,0.6174162521985529,0.0,0.0,0.0,0.0,0.893680759039464
