release,state_abbr,usage_share,state_fips,employment_share,usage_per_worker_index
2025-09-15,AK,0.000667627281460134,02,0.002028918597971433,0.32905572561050284
2025-09-15,AL,0.005926993275696446,01,0.013365833169604149,0.44344360732971677
2025-09-15,AR,0.0031796349663784818,05,0.008283839828669096,0.3838358819269119
2025-09-15,AZ,0.015317002881844378,04,0.020612045396077437,0.7431093124197792
2025-09-15,CA,0.2527233429394813,06,0.11677163231304075,2.164252892020743
2025-09-15,CO,0.02366474543707973,08,0.018398561326466056,1.2862280380063384
2025-09-15,CT,0.009442843419788663,09,0.0107662974858291,0.8770743546904213
2025-09-15,DC,0.008698366954851105,11,0.004444084048616732,1.957291279753938
2025-09-15,DE,0.002132564841498559,10,0.0029577983499872867,0.7209973734374845
2025-09-15,FL,0.046268011527377514,12,0.06336739182371055,0.730154898217937
2025-09-15,GA,0.026671469740634005,13,0.031070972387352423,0.8584047324985151
2025-09-15,HI,0.003290105667627281,15,0.003912384505845799,0.8409464005164312
2025-09-15,IA,0.003573487031700288,19,0.010108929421994439,0.3534980691353227
2025-09-15,ID,0.002915465898174831,16,0.00538161937458467,0.541745094783823
2025-09-15,IL,0.03325648414985591,17,0.03892079700785269,0.8544656509255464
2025-09-15,IN,0.008794428434197886,18,0.02065701533292624,0.4257356782893999
2025-09-15,KS,0.00441402497598463,20,0.009261919685254695,0.47657776422008
2025-09-15,KY,0.004615754082612872,21,0.012882162300341778,0.3583058476518659
2025-09-15,LA,0.004980787704130644,22,0.0123313293835715,0.40391328049077446
2025-09-15,MA,0.030609990393852066,25,0.02333458134127685,1.3117865688768817
2025-09-15,MD,0.018093179634966376,24,0.01766928041137535,1.0239907462965
2025-09-15,ME,0.0029298751200768493,23,0.004057641957432669,0.7220634917553508
2025-09-15,MI,0.015120076849183477,26,0.028479376402992067,0.5309131996160895
2025-09-15,MN,0.013049951969260327,27,0.018926291019529643,0.6895144936635685
2025-09-15,MO,0.017814601344860712,29,0.01878057801141898,0.9485651258459173
2025-09-15,MS,0.001820365033621517,28,0.00744691741495622,0.24444544395853474
2025-09-15,MT,0.0016666666666666661,30,0.0032450592779910688,0.5136013008977931
2025-09-15,NC,0.02482708933717579,37,0.03163931169053707,0.7846911961931609
2025-09-15,ND,0.0008789625360230539,38,0.0027060708308394325,0.32481135600962696
2025-09-15,NE,0.002958693563880883,31,0.006557736160013839,0.4511760601046565
2025-09-15,NH,0.003535062439961575,33,0.0042818408466426885,0.825594076606876
2025-09-15,NJ,0.023712776176753117,34,0.027448712307659967,0.8638939383009132
2025-09-15,NM,0.0031844380403458212,35,0.005479303709186772,0.5811756765748708
2025-09-15,NV,0.010489913544668588,32,0.00976107947632606,1.0746673633905142
2025-09-15,NY,0.09257444764649375,36,0.06140290193410427,1.5076559043714552
2025-09-15,OH,0.01723342939481268,39,0.03577062364581756,0.4817760396198091
2025-09-15,OK,0.004260326609029778,40,0.010929777198367728,0.38979080101157254
2025-09-15,OR,0.012853025936599425,41,0.012661738022328908,1.0151075558452705
2025-09-15,PA,0.02527377521613833,42,0.03900579083929196,0.6479493088672139
2025-09-15,RI,0.002531219980787704,44,0.003074095422561541,0.8234031911340354
2025-09-15,SC,0.0066234390009606145,45,0.014659613697178954,0.45181538461925547
2025-09-15,SD,0.000672430355427473,46,0.00289812044537028,0.23202291557677462
2025-09-15,TN,0.011412103746397697,47,0.021198411721703645,0.5383471128034372
2025-09-15,TX,0.0667435158501441,48,0.0894267868928058,0.7463481376128195
2025-09-15,UT,0.040057636887608085,49,0.010939278805864002,3.6618169806710825
2025-09-15,VA,0.040441882804995194,51,0.02612883489922211,1.5477874524822077
2025-09-15,VT,0.002065321805955811,50,0.0019020135663431197,1.0858607123011608
2025-09-15,WA,0.03578770413064361,53,0.022902453438706595,1.5626144258483734
2025-09-15,WI,0.00840537944284342,55,0.01897763874771156,0.4429096556523393
2025-09-15,WV,0.001181556195965417,54,0.004519511193056329,0.2614345103914627
2025-09-15,WY,0.000648414985590778,56,0.0017738720241502227,0.36553650813756006
2026-01-15,AK,0.0009059208070434201,02,0.002028918597971433,0.44650426485773453
2026-01-15,AL,0.006300474356523085,01,0.013365833169604149,0.47138657774445974
2026-01-15,AR,0.003514426447424726,05,0.008283839828669096,0.42425089331904225
2026-01-15,AZ,0.016611583039705734,04,0.020612045396077437,0.805916284410425
2026-01-15,CA,0.17579416022506897,06,0.11677163231304075,1.5054526235772825
2026-01-15,CO,0.02550690593901651,08,0.018398561326466056,1.3863532852606908
2026-01-15,CT,0.009946919414019467,09,0.0107662974858291,0.9238941639047108
2026-01-15,DC,0.009118388826673225,11,0.004444084048616732,2.051803864850715
2026-01-15,DE,0.002098640663552848,10,0.0029577983499872867,0.7095279715609647
2026-01-15,FL,0.05361321278668524,12,0.06336739182371055,0.8460694253574196
2026-01-15,GA,0.029289921972449083,13,0.031070972387352423,0.9426779956320799
2026-01-15,HI,0.003282255788333197,15,0.003912384505845799,0.8389399823634212
2026-01-15,IA,0.004060710351169502,19,0.010108929421994439,0.4016953904470277
2026-01-15,ID,0.0032367321296877987,16,0.00538161937458467,0.6014420389843337
2026-01-15,IL,0.037010734478708576,17,0.03892079700785269,0.9509243726751346
2026-01-15,IN,0.012100188467946794,18,0.02065701533292624,0.5857665433718154
2026-01-15,KS,0.005048573743774641,20,0.009261919685254695,0.5450893459821454
2026-01-15,KY,0.005094097402420038,21,0.012882162300341778,0.39543807038395146
2026-01-15,LA,0.005667695501352052,22,0.0123313293835715,0.45961755825798306
2026-01-15,MA,0.03447051432629537,25,0.02333458134127685,1.4772287457037003
2026-01-15,MD,0.019210983948357966,24,0.01766928041137535,1.0872533290031483
2026-01-15,ME,0.002353573151967077,23,0.004057641957432669,0.580034704061523
2026-01-15,MI,0.017986397530796755,26,0.028479376402992067,0.6315586857058811
2026-01-15,MN,0.012468930102974516,27,0.018926291019529643,0.6588153003728036
2026-01-15,MO,0.011412781222401285,29,0.01878057801141898,0.6076906267454643
